id,value,coef,color
25.0,25,1,0
25.2,25,2,1
0.2,6,2,1
0.3,6,3,1
0.0.0,6,1,3
0.0.1,6,1,3
1.2,13,2,0
1.3,13,3,0
1.0.0,13,1,2
1.0.1,13,1,2
2.2,4,2,1
2.3,4,3,1
2.0.0,4,1,3
2.0.1,4,1,3
3.2,18,2,0
3.3,18,3,0
3.0.0,18,1,2
3.0.1,18,1,2
4.2,1,2,1
4.3,1,3,1
4.0.0,1,1,3
4.0.1,1,1,3
5.2,20,2,0
5.3,20,3,0
5.0.0,20,1,2
5.0.1,20,1,2
6.2,5,2,1
6.3,5,3,1
6.0.0,5,1,3
6.0.1,5,1,3
7.2,12,2,0
7.3,12,3,0
7.0.0,12,1,2
7.0.1,12,1,2
8.2,9,2,1
8.3,9,3,1
8.0.0,9,1,3
8.0.1,9,1,3
9.2,14,2,0
9.3,14,3,0
9.0.0,14,1,2
9.0.1,14,1,2
10.2,11,2,1
10.3,11,3,1
10.0.0,11,1,3
10.0.1,11,1,3
11.2,8,2,0
11.3,8,3,0
11.0.0,8,1,2
11.0.1,8,1,2
12.2,16,2,1
12.3,16,3,1
12.0.0,16,1,3
12.0.1,16,1,3
13.2,7,2,0
13.3,7,3,0
13.0.0,7,1,2
13.0.1,7,1,2
14.2,19,2,1
14.3,19,3,1
14.0.0,19,1,3
14.0.1,19,1,3
15.2,3,2,0
15.3,3,3,0
15.0.0,3,1,2
15.0.1,3,1,2
16.2,17,2,1
16.3,17,3,1
16.0.0,17,1,3
16.0.1,17,1,3
17.2,2,2,0
17.3,2,3,0
17.0.0,2,1,2
17.0.1,2,1,2
18.2,15,2,1
18.3,15,3,1
18.0.0,15,1,3
18.0.1,15,1,3
19.2,10,2,0
19.3,10,3,0
19.0.0,10,1,2
19.0.1,10,1,2
